Date,Open,High,Low,Close,Volume
2006/10/23,1789.65,1797.43,1753.49,1759.39,444410.85
2006/10/24,1756.46,1805.27,1756.46,1805.18,399112.06
2006/10/25,1807.03,1825.61,1789.91,1806.65,445122.59
2006/10/26,1804.89,1816.76,1791.95,1810.65,487370.82
2006/10/27,1836.21,1842.73,1803.21,1807.18,737489.23
2006/10/30,1804.37,1815.61,1788.29,1809.66,453359.44
2006/10/31,1811.47,1839.32,1811.47,1837.99,465571.35
2006/11/1,1838.68,1855.89,1833.2,1855.71,477835.26
2006/11/2,1856.92,1857.15,1834.84,1851.31,517417.25
2006/11/3,1851.4,1873.66,1850.15,1866.36,498607.2
2006/11/6,1853.19,1886.52,1846.01,1886.31,495445.17
2006/11/7,1889.53,1897.41,1862.93,1889.53,548490.74
2006/11/8,1885.86,1886.26,1865.22,1866.82,377704.54
2006/11/9,1860.95,1899.1,1858.6,1896.48,440961.82
2006/11/10,1896.93,1920.18,1870.96,1883.35,628094.27
2006/11/13,1878.7,1905.9,1852.1,1863.77,500167.29
2006/11/14,1868.17,1888.43,1841.82,1888.24,431880.28
2006/11/15,1888.54,1923.14,1878.7,1922.94,466824.41
2006/11/16,1930.93,1976.05,1926.72,1941.55,639835.66
2006/11/17,1934.64,1972.61,1925.15,1971.79,494187.4
2006/11/20,1977.53,2018,1977.53,2017.28,591469.01
2006/11/21,2013.07,2037.74,1988.93,2037.55,538940.76
2006/11/22,2031.3,2062.8,2010.79,2041.36,648816.69
2006/11/23,2045.08,2071.24,2042.15,2062.36,607219.45
2006/11/24,2051.47,2057.91,2022.63,2050.81,612320.8
2006/11/27,2042.19,2049.54,2022.38,2047.28,578400.31
2006/11/28,2042.38,2051.49,2016.47,2038.72,550706.38
2006/11/29,2005.99,2059.73,1992.54,2054.09,560022.8
2006/11/30,2058.77,2102.06,2058.77,2099.29,727797.31
2006/12/1,2106.3,2112.58,2087.6,2102.05,761789.64
2006/12/4,2103.82,2164.59,2100.56,2161.65,872327.9
2006/12/5,2167.36,2195.53,2159.32,2173.29,881571.71
2006/12/6,2175.38,2192.9,2097.42,2156.6,1043478.07
2006/12/7,2152.59,2206.51,2145.79,2156.75,992787.66
2006/12/8,2133.36,2164.02,2090.4,2093.64,808897.19
2006/12/11,2085.06,2181.16,2084.27,2180.5,626760.17
2006/12/12,2189.69,2228.64,2180.37,2218.95,701917.76
2006/12/13,2224.43,2244.41,2195.64,2223.46,574927.49
2006/12/14,2226,2250.32,2212.91,2249.11,584393.2
2006/12/15,2255.24,2275.49,2241.2,2273.91,606119.49
2006/12/18,2277.28,2335.23,2277.28,2332.43,782521.93
2006/12/19,2342.18,2381.63,2315.99,2364.18,870549.28
2006/12/20,2356.26,2381.13,2332.93,2373.21,782989.35
2006/12/21,2372.46,2386.82,2339.91,2342.94,831825.51
2006/12/22,2334.27,2366.69,2321.92,2343.67,704846.2
2006/12/25,2350.13,2452.43,2350.13,2435.76,739394.5
2006/12/26,2437.85,2505.7,2424.94,2479.73,722614.92
2006/12/27,2478.06,2538.66,2461.07,2536.39,721182.18
2006/12/28,2538.95,2611.79,2530.33,2567.59,787189.41
2006/12/29,2585.42,2698.9,2585.42,2675.47,867690.12
2007/1/4,2728.19,2847.62,2684.82,2715.72,1201560.21
2007/1/5,2668.58,2685.8,2617.02,2641.33,1061556.25
2007/1/8,2621.07,2708.44,2620.63,2707.2,1068132.44
2007/1/9,2711.05,2809.39,2691.36,2807.8,1107512.67
2007/1/10,2838.11,2841.74,2770.99,2825.58,1117693.65
2007/1/11,2819.37,2841.18,2763.89,2770.11,1215987.17
2007/1/12,2745.32,2782.03,2652.58,2668.11,1073037.68
2007/1/15,2660.07,2795.33,2658.88,2794.7,917615.61
2007/1/16,2818.66,2830.8,2757.21,2821.02,1111785.74
2007/1/17,2828.4,2870.42,2742.59,2778.9,1273774.8
2007/1/18,2760.94,2784.04,2679.71,2756.98,1123139.56
2007/1/19,2761.89,2833.45,2761.89,2832.21,1220618.94
2007/1/22,2857.9,2934.65,2857.9,2933.19,1385760.9
2007/1/23,2964.69,2970.69,2851.92,2949.14,1427918.03
2007/1/24,2955.42,2994.28,2927.72,2975.13,1220567.9
2007/1/25,2946.5,2947.15,2853.82,2857.37,1171972.15
2007/1/26,2805.96,2905.98,2720.83,2882.56,1095991.31
2007/1/29,2897.25,2954.34,2885.86,2945.26,1120679.06
2007/1/30,2959.4,2980.51,2901.76,2930.56,1119317.21
2007/1/31,2926.08,2929.65,2766.75,2786.34,1142659.7
2007/2/1,2744.81,2801.69,2706.29,2785.43,934435.31
2007/2/2,2791.49,2796.44,2666.86,2673.21,854462.36
2007/2/5,2658.07,2672.35,2610.33,2612.54,692245.12
2007/2/6,2612.84,2677.04,2541.53,2675.7,866299.5
2007/2/7,2688.96,2745.39,2681.33,2716.18,948837.64
2007/2/8,2725.14,2751.16,2691.27,2737.73,884342.95
2007/2/9,2741.48,2747.94,2704.37,2730.39,808744.38
2007/2/12,2729.84,2807.51,2728.78,2807.17,790094.03
2007/2/13,2819.14,2835.09,2801.31,2831.87,790016.71
2007/2/14,2836.82,2915.06,2823.38,2905.09,940445.55
2007/2/15,2923.67,2994.62,2923.67,2993.01,1088311.77
2007/2/16,3018.18,3036.35,2975.83,2998.47,1179217.22
2007/2/26,2999.09,3041.34,2960.75,3040.6,1120569.92
2007/2/27,3048.83,3049.77,2763.4,2771.79,1613756.63
2007/2/28,2734.6,2888.9,2732.88,2881.07,1214791.68
2007/3/1,2877.2,2878.36,2760.91,2797.19,1273648.6
2007/3/2,2792.94,2846.16,2777.8,2831.53,939439.65
2007/3/5,2827.68,2858.44,2723.07,2785.31,1069105.84
2007/3/6,2776.17,2866.33,2756.96,2840.18,770404.86
2007/3/7,2851.75,2911.42,2849.65,2896.59,879139.3
2007/3/8,2904.19,2928.8,2871.46,2928.02,889551.23
2007/3/9,2934.49,2962.42,2891.81,2937.91,1071391.05
2007/3/12,2945.92,2958.63,2904.74,2954.91,1015424.44
2007/3/13,2958.1,2966.19,2932.23,2964.79,1071893.16
2007/3/14,2933.68,2934.45,2868.81,2906.33,1137307.39
2007/3/15,2905.98,2955.46,2905.98,2951.7,1017457.54
2007/3/16,2964.09,2979.71,2899.03,2930.48,1226813.08
2007/3/19,2864.26,3038,2852.86,3014.44,1099717.52
2007/3/20,3024.78,3033.02,2998.8,3032.2,927618.9
